uri,title
http://data.europa.eu/esco/occupation/4be03a63-0423-4e50-acbf-aec405bb0741,aeronautical information service officer
http://data.europa.eu/esco/occupation/d18a8976-a283-42ad-9541-75c49396dbd7,lottery operator
http://data.europa.eu/esco/occupation/0809ea8a-4f77-4351-a7f1-b9a7b99b6c0b,weather forecaster
http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446,cosmologist
http://data.europa.eu/esco/occupation/22f86890-f68b-402f-a711-3e6df4913271,typist
http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb,production engineering technician
http://data.europa.eu/esco/occupation/608edf30-fe37-4ae5-bdd1-2d3a8fd347bd,flight test engineer
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator
http://data.europa.eu/esco/occupation/bd9d395a-d587-45c6-8d72-ceef226df9e1,ICT system integration consultant
http://data.europa.eu/esco/occupation/e1c72b5f-4c5c-487c-a6df-e84b64a51dae,ICT system architect
http://data.europa.eu/esco/occupation/c8fa93eb-7c2c-42c3-b135-c2e825a6615e,test engineer
http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f,knowledge engineer
http://data.europa.eu/esco/occupation/64c7d461-152c-477f-a8e2-c2c537e9d617,ICT network technician
http://data.europa.eu/esco/occupation/5684182e-7b4c-4eea-97d9-4c2b88b9f906,sailor
http://data.europa.eu/esco/occupation/e96cec32-9960-4496-a790-a9d2254906fc,tote operator
http://data.europa.eu/esco/occupation/0da75680-fbf9-44d8-802a-ac12eb425a34,biotechnical technician
http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b,astronomer
http://data.europa.eu/esco/occupation/439c52ae-23ce-4d1e-bea1-bac135497977,hydrographic surveyor
http://data.europa.eu/esco/occupation/076d23f3-a689-4f1a-8b55-ae870c9aaa85,securities analyst
http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,financial auditor
http://data.europa.eu/esco/occupation/b176e5d7-1f94-495c-907f-80a7f61aed59,remote sensing technician
http://data.europa.eu/esco/occupation/9af8907f-56a7-4170-83b1-3c6ba0997cfa,geographic information systems specialist
http://data.europa.eu/esco/occupation/1f665529-96e9-46c1-99f4-9ffbf9ffa036,auditing clerk
http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,ICT security consultant
http://data.europa.eu/esco/occupation/d2e63d7e-2605-4af1-bb7d-b1ed9ad08825,statistical assistant
http://data.europa.eu/esco/occupation/a1cf1406-3632-494c-bff3-0bd5d5327d8f,survey enumerator
http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100,sales support assistant
http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,ICT disaster recovery analyst
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,forestry technician
http://data.europa.eu/esco/occupation/d18deca3-3063-4970-9ddc-e3c70404a28c,dental hygienist
http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,oxy fuel burning machine operator
http://data.europa.eu/esco/occupation/2be85651-c94a-4531-9df8-3cc56932960e,heat sealing machine operator
http://data.europa.eu/esco/occupation/1f1a45a8-8f5c-4b66-a8a1-e02490addc55,locker room attendant
http://data.europa.eu/esco/occupation/c2e6609d-0abe-4a38-b295-e06edbd52e82,fundraising manager
http://data.europa.eu/esco/occupation/83e45d86-1bce-45c5-ba8b-097738f9f28b,news anchor
http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forester
http://data.europa.eu/esco/occupation/2c94916d-bd7d-4855-ab89-574d2c439a63,leather measuring operator
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,metal drawing machine operator
http://data.europa.eu/esco/occupation/1214a616-aaa5-4140-b82e-2cc5028b0fa4,blending plant operator
http://data.europa.eu/esco/occupation/2fa8c1fc-e722-4985-9822-f5d8174248cf,asphalt plant operator
http://data.europa.eu/esco/occupation/2d6d4cb2-5d46-4d1f-939b-7f55c02c64cb,coppersmith
http://data.europa.eu/esco/occupation/de31a27f-c6ba-4d4f-87cd-b405e1852121,rental manager
http://data.europa.eu/esco/occupation/659b0ffd-337c-4a1f-82e3-2730812279de,venture capitalist
http://data.europa.eu/esco/occupation/e0b347de-f88b-4f69-b7d0-0a965e41f0d5,cocoa mill operator
http://data.europa.eu/esco/occupation/976c739f-fec7-45c2-b12e-e1b496aa816b,chipper operator
http://data.europa.eu/esco/occupation/31854d78-3615-43a4-aa3a-c597ecb20ceb,legal consultant
http://data.europa.eu/esco/occupation/17b29190-6746-4b81-a1d1-8053a5bbc0e9,solderer
http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,chief technology officer
http://data.europa.eu/esco/occupation/b0ad8659-0410-4b5b-9466-a90f8b3cdac9,product quality controller
http://data.europa.eu/esco/occupation/23be4cb6-c5e7-449e-8d76-8edfe9a00478,furniture cleaner
http://data.europa.eu/esco/occupation/8d4ce4a2-3453-4aa3-befb-7a24595cd68f,armoured car driver
http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,technical sales representative in agricultural machinery and equipment
http://data.europa.eu/esco/occupation/bc6649ff-05f8-4c98-9db6-9be0d13883a9,laser cutting machine operator
http://data.europa.eu/esco/occupation/c737f094-7921-4d57-b883-6442343a5fd8,choreologist
http://data.europa.eu/esco/occupation/b567a979-c556-49fa-8b36-8af6cfe97624,stevedore
http://data.europa.eu/esco/occupation/26087cc4-6226-41b0-9f97-9564ebe90dce,cloak room attendant
